Mes,Media de Temperatura (2010),Media de Temperatura (2011),Media de Temperatura (2012),Media de Temperatura (2013),Media de Temperatura (2014),Media de Temperatura (2015),Media de Temperatura (2016),Media de Temperatura (2017),Media de Temperatura (2018),Media de Temperatura (2019),Media de Temperatura (2020)
Janeiro,23.4,23.5,21.0,21.5,24.9,25.1,22.8,23.1,22.6,25.1,22.9
Fevereiro,24.5,24.1,24.1,23.0,25.3,23.2,24.1,24.4,22.1,23.1,21.8
Marco,22.7,21.4,22.2,21.8,22.7,21.9,22.9,22.2,23.5,22.6,21.4
Abril,20.4,21.2,20.9,19.8,20.8,20.7,23.6,20.1,21.1,22.2,20.1
Maio,18.3,17.4,17.8,18.6,18.6,18.5,17.9,18.9,19.1,20.4,17.7
Junho,16.6,15.8,17.5,18.0,18.4,17.9,15.3,17.7,18.5,19.0,19.2
Julho,18.2,17.4,17.5,16.2,17.3,17.9,17.6,16.4,18.6,17.0,18.5
Agosto,17.3,18.1,18.7,17.7,18.2,19.9,17.9,17.3,17.0,17.6,17.6
Setembro,19.4,18.0,20.0,18.9,20.2,20.9,18.4,21.3,19.1,19.9,21.9
Outubro,18.4,20.1,21.9,19.5,21.3,21.8,20.3,21.3,19.8,22.1,21.6
Novembro,20.8,19.6,20.5,21.3,21.3,22.1,20.6,20.6,20.8,21.3,20.6
Dezembro,22.5,21.8,24.1,23.0,23.1,23.2,23.1,22.4,23.3,22.4,22.5
